$ go run main.go 
2022/09/09 13:16:49 Worker  2 got file://data/file1.csv
2022/09/09 13:16:49 Worker  1 got file://data/file3.csv
2022/09/09 13:16:49 Worker  0 got file://data/file2.csv
2022/09/09 13:16:49 Worker  2 got file://data/file4.csv
2022/09/09 13:16:49 Worker  0 got file://data/file5.csv
2022/09/09 13:16:49 Worker  2 got file://data/file6_bad.csv
2022/09/09 13:16:49 Worker  2 got file://data/file9_bad.csv
2022/09/09 13:16:49 skipping  : file://data/file6_bad.csv does have proper CSV headers
2022/09/09 13:16:49 skipping file://data/file9_bad.csv : record on line 5: wrong number of fields
2022/09/09 13:16:49 5 files read in 3.252143ms (poolsize 3 )
2022/09/09 13:16:49 file://data/file5.csv 1000 users (0 skipped) elapsed:260.096µs
2022/09/09 13:16:49 file://data/file3.csv 10000 users (0 skipped) elapsed:3.102772ms
2022/09/09 13:16:49 file://data/file1.csv 1000 users (0 skipped) elapsed:265.289µs
2022/09/09 13:16:49 file://data/file2.csv 1000 users (0 skipped) elapsed:317.121µs
2022/09/09 13:16:49 file://data/file4.csv 1000 users (0 skipped) elapsed:261.549µs
2022/09/09 13:16:49 14000 users
2022/09/09 13:16:49 mean 33
2022/09/09 13:16:49 Michelle RANGEL 31
2022/09/09 13:16:49 Connor BROWN 31
2022/09/09 13:16:49 Alexis FLYNN 31
2022/09/09 13:16:49 Rachel HANSON 31
2022/09/09 13:16:49 Nicolas FISHER 31
2022/09/09 13:16:49 Selena RAYMOND 31
2022/09/09 13:16:49 Gabriel HORTON 31
2022/09/09 13:16:49 Zoe HOWE 31
2022/09/09 13:16:49 Alejandra SELLERS 31
2022/09/09 13:16:49 Autumn CHRISTENSEN 31
2022/09/09 13:16:49 Melanie ARELLANO 31
2022/09/09 13:16:49 Leslie CANO 31
2022/09/09 13:16:49 Isabella POOLE 31
2022/09/09 13:16:49 Levi TRAVIS 31
2022/09/09 13:16:49 Destiny WALKER 31
2022/09/09 13:16:49 Destiny YU 31
2022/09/09 13:16:49 Margaret MAYNARD 31
2022/09/09 13:16:49 Joseph RODRIGUEZ 31
2022/09/09 13:16:49 Allen HESS 31
2022/09/09 13:16:49 Lindsey MCKEE 31
2022/09/09 13:16:49 Mason COCHRAN 31
2022/09/09 13:16:49 Allen LAWSON 31
2022/09/09 13:16:49 Paul CASTILLO 31
2022/09/09 13:16:49 Joel CAIN 31
2022/09/09 13:16:49 Kathryn CLAYTON 31
2022/09/09 13:16:49 Mallory GILES 31
2022/09/09 13:16:49 Adrian WELCH 31
2022/09/09 13:16:49 Johnathan MURRAY 31
2022/09/09 13:16:49 Mathew NORMAN 31
2022/09/09 13:16:49 Gabriel PATRICK 31
2022/09/09 13:16:49 Allen GOMEZ 31
2022/09/09 13:16:49 Briana YU 31
2022/09/09 13:16:49 Tristan LIU 31
2022/09/09 13:16:49 Sara MOON 31
2022/09/09 13:16:49 Shannon CALHOUN 31
2022/09/09 13:16:49 Samuel SHIELDS 31
2022/09/09 13:16:49 Derrick SUTTON 31
2022/09/09 13:16:49 Isaiah BRIDGES 31
2022/09/09 13:16:49 Ricardo BRADSHAW 31
2022/09/09 13:16:49 Juan LEACH 31
2022/09/09 13:16:49 Jake COFFEY 31
2022/09/09 13:16:49 Jenna HOLMES 31
2022/09/09 13:16:49 Alexandra NAVARRO 31
2022/09/09 13:16:49 Heather PINEDA 31
2022/09/09 13:16:49 Casey COHEN 31
2022/09/09 13:16:49 Sergio KOCH 31
2022/09/09 13:16:49 Melissa MORGAN 31
2022/09/09 13:16:49 Kendra DAVENPORT 31
2022/09/09 13:16:49 Chelsey MCCONNELL 31
2022/09/09 13:16:49 Morgan LONG 31
2022/09/09 13:16:49 Henry KRUEGER 31
2022/09/09 13:16:49 David DAVID 31
2022/09/09 13:16:49 Catherine DOUGHERTY 31
2022/09/09 13:16:49 Katie FIGUEROA 31
2022/09/09 13:16:49 Hayley SANFORD 31
2022/09/09 13:16:49 Stephen MEZA 31
2022/09/09 13:16:49 Levi PATTON 31
2022/09/09 13:16:49 Ana HENDRICKS 31
2022/09/09 13:16:49 Veronica BRUCE 31
2022/09/09 13:16:49 Brandon LU 31
2022/09/09 13:16:49 Kayla ZAVALA 31
2022/09/09 13:16:49 Samantha SPENCE 31
2022/09/09 13:16:49 Cassandra YODER 31
2022/09/09 13:16:49 Thomas HICKS 31
2022/09/09 13:16:49 Francisco BREWER 31
2022/09/09 13:16:49 Lucas NEWMAN 31
2022/09/09 13:16:49 Olivia WATSON 31
2022/09/09 13:16:49 Daniel SWANSON 31
2022/09/09 13:16:49 Tara KRAMER 31
2022/09/09 13:16:49 Julia ELLIOTT 31
2022/09/09 13:16:49 Logan ANDERSEN 31
2022/09/09 13:16:49 Evelyn ORR 31
2022/09/09 13:16:49 Maria BRIDGES 31
2022/09/09 13:16:49 Alicia GREER 31
2022/09/09 13:16:49 Zachary VILLA 31
2022/09/09 13:16:49 Ariel HUNT 31
2022/09/09 13:16:49 Travis PACHECO 31
2022/09/09 13:16:49 Brenda DUNLAP 31
2022/09/09 13:16:49 Cindy NICHOLS 31
2022/09/09 13:16:49 Yesenia SANTANA 31
2022/09/09 13:16:49 Sydney PERKINS 31
2022/09/09 13:16:49 Alicia VALENZUELA 31
2022/09/09 13:16:49 Bethany GONZALES 31
2022/09/09 13:16:49 Rebecca STAFFORD 31
2022/09/09 13:16:49 Austin WILEY 31
2022/09/09 13:16:49 Catherine HOLMES 31
2022/09/09 13:16:49 Grace CHRISTENSEN 31
2022/09/09 13:16:49 Amy HO 31
2022/09/09 13:16:49 Marisa TATE 31
2022/09/09 13:16:49 Gary SEXTON 31
2022/09/09 13:16:49 David MENDEZ 31
2022/09/09 13:16:49 Shelby LOPEZ 31
2022/09/09 13:16:49 Anthony REYES 31
2022/09/09 13:16:49 Brittany DOYLE 31
2022/09/09 13:16:49 Cesar WATKINS 31
2022/09/09 13:16:49 Parker NEAL 31
2022/09/09 13:16:49 Grace FROST 31
2022/09/09 13:16:49 Audrey BENTON 31
2022/09/09 13:16:49 Grace KELLEY 31
2022/09/09 13:16:49 Oscar DURHAM 31
2022/09/09 13:16:49 Nancy CONTRERAS 31
2022/09/09 13:16:49 Donald ROCHA 31
2022/09/09 13:16:49 Jasmin ONEAL 31
2022/09/09 13:16:49 Katie DUKE 31
2022/09/09 13:16:49 Tony CORREA 31
2022/09/09 13:16:49 Ryan BURCH 31
2022/09/09 13:16:49 Jordan BARR 31
2022/09/09 13:16:49 Ariana BENNETT 31
2022/09/09 13:16:49 Nicholas COMBS 31
2022/09/09 13:16:49 Ryan COLLINS 31
2022/09/09 13:16:49 Kenneth LIVINGSTON 31
2022/09/09 13:16:49 Hayley ROCHA 31
2022/09/09 13:16:49 Jose DUFFY 31
2022/09/09 13:16:49 Amanda RIVAS 31
2022/09/09 13:16:49 Cody GILBERT 31
2022/09/09 13:16:49 Cory RICE 31
2022/09/09 13:16:49 James RUSSO 31
2022/09/09 13:16:49 Joseph PATTERSON 31
2022/09/09 13:16:49 Aaron AYALA 31
2022/09/09 13:16:49 Matthew DAWSON 31
2022/09/09 13:16:49 Javier WOLF 31
2022/09/09 13:16:49 Michelle SCHROEDER 31
2022/09/09 13:16:49 Philip ARNOLD 31
2022/09/09 13:16:49 Keith FITZGERALD 31
2022/09/09 13:16:49 Claudia KENNEDY 31
2022/09/09 13:16:49 Mark WHITNEY 31
2022/09/09 13:16:49 Jasmine RAMIREZ 31
2022/09/09 13:16:49 Monique FRANCIS 31
2022/09/09 13:16:49 Brenda ELLIOTT 31
2022/09/09 13:16:49 Spencer GILL 31
2022/09/09 13:16:49 Caroline HARVEY 31
2022/09/09 13:16:49 Jake INGRAM 31
2022/09/09 13:16:49 Mercedes HAYES 31
2022/09/09 13:16:49 Natalie GRAVES 31
2022/09/09 13:16:49 Xavier DICKERSON 31
2022/09/09 13:16:49 Andres HEATH 31
2022/09/09 13:16:49 Sydney FRIEDMAN 31
2022/09/09 13:16:49 Brittany MOSLEY 31
2022/09/09 13:16:49 Crystal ATKINSON 31
2022/09/09 13:16:49 Natalie BROWNING 31
2022/09/09 13:16:49 Chloe LE 31
2022/09/09 13:16:49 Nicholas MEDRANO 31
2022/09/09 13:16:49 Dalton KENNEDY 31
2022/09/09 13:16:49 Rebekah BROWN 31
2022/09/09 13:16:49 Jerry CHOI 31
2022/09/09 13:16:49 Charles ENGLISH 31
2022/09/09 13:16:49 Jackson COBB 31
2022/09/09 13:16:49 Edward GRIFFIN 31
2022/09/09 13:16:49 Adriana MERRITT 31
2022/09/09 13:16:49 Katrina REYNOLDS 31
2022/09/09 13:16:49 Angela ELLIS 31
2022/09/09 13:16:49 Taylor SANTIAGO 31
2022/09/09 13:16:49 Gavin HAYES 31
2022/09/09 13:16:49 Isabel ROBERSON 31
2022/09/09 13:16:49 Robert STEVENSON 31
2022/09/09 13:16:49 Mariah LESTER 31
2022/09/09 13:16:49 Ana STEPHENSON 31
2022/09/09 13:16:49 Erica VENTURA 31
2022/09/09 13:16:49 Keith VILLA 31
2022/09/09 13:16:49 Brianna HESS 31
2022/09/09 13:16:49 Kathryn HEATH 31
2022/09/09 13:16:49 Kenneth RICE 31
2022/09/09 13:16:49 Samantha HORN 31
2022/09/09 13:16:49 Erika LYNN 31
2022/09/09 13:16:49 Chloe BOND 31
2022/09/09 13:16:49 Alan LOPEZ 31
2022/09/09 13:16:49 Austin SIMMONS 31
2022/09/09 13:16:49 Katelyn MCINTYRE 31
2022/09/09 13:16:49 Nicholas BOYD 31
2022/09/09 13:16:49 Brent DAWSON 31
2022/09/09 13:16:49 Bailey VENTURA 31
2022/09/09 13:16:49 Noah MCINTYRE 31
2022/09/09 13:16:49 Mckenzie RICHARDSON 31
2022/09/09 13:16:49 Bethany CLARK 31
2022/09/09 13:16:49 Austin HOLLAND 31
2022/09/09 13:16:49 Mia TANG 31
2022/09/09 13:16:49 Holly FLEMING 31
2022/09/09 13:16:49 Angelica BLEVINS 31
2022/09/09 13:16:49 Gabrielle PADILLA 31
2022/09/09 13:16:49 Kara CHUNG 31
2022/09/09 13:16:49 Ariel VALENTINE 31
2022/09/09 13:16:49 Gregory MORSE 31
2022/09/09 13:16:49 Paul RAMIREZ 31
2022/09/09 13:16:49 Paul RAYMOND 31
2022/09/09 13:16:49 Chase SULLIVAN 31
2022/09/09 13:16:49 Cassandra SHERMAN 31
2022/09/09 13:16:49 Tyler BLACKWELL 31
2022/09/09 13:16:49 Alejandra NIELSEN 31
2022/09/09 13:16:49 Krista ARIAS 31
2022/09/09 13:16:49 Whitney WILCOX 31
2022/09/09 13:16:49 Tanner GRANT 31
2022/09/09 13:16:49 Max MATHEWS 31
2022/09/09 13:16:49 Lauren OLSON 31
2022/09/09 13:16:49 Grace CHRISTENSEN 31
2022/09/09 13:16:49 Sara MCDOWELL 31
2022/09/09 13:16:49 Dana WEAVER 31
2022/09/09 13:16:49 Nathaniel BRADLEY 31
2022/09/09 13:16:49 Calvin BERNAL 31
2022/09/09 13:16:49 Craig MEDRANO 31
2022/09/09 13:16:49 Chad BOWEN 31
2022/09/09 13:16:49 Crystal LEE 31
2022/09/09 13:16:49 Lucas FULLER 31
2022/09/09 13:16:49 April BRANDT 31
2022/09/09 13:16:49 Ruben CHURCH 31
2022/09/09 13:16:49 Marcus LARA 31
2022/09/09 13:16:49 Abigail HOUSTON 31
2022/09/09 13:16:49 Gregory NUNEZ 31
2022/09/09 13:16:49 Marisa PENA 31
2022/09/09 13:16:49 Logan JENSEN 31
2022/09/09 13:16:49 Brenda KNOX 31
2022/09/09 13:16:49 Christopher HUGHES 31
2022/09/09 13:16:49 Ethan BRANCH 31
2022/09/09 13:16:49 Wyatt BAUER 31
2022/09/09 13:16:49 Patricia BENITEZ 31
2022/09/09 13:16:49 Cynthia KENT 31
2022/09/09 13:16:49 Felicia PENA 31
2022/09/09 13:16:49 Raven SLOAN 31
2022/09/09 13:16:49 Rachael SAWYER 31
2022/09/09 13:16:49 Derek CARLSON 31
2022/09/09 13:16:49 Taylor STRICKLAND 31
2022/09/09 13:16:49 Edgar POWERS 31
2022/09/09 13:16:49 Frank MATTHEWS 31
2022/09/09 13:16:49 Cynthia WELCH 31
2022/09/09 13:16:49 Carly HENDRIX 31
2022/09/09 13:16:49 Angel PERSON 31
2022/09/09 13:16:49 Jared NICHOLSON 31
2022/09/09 13:16:49 Victoria CHASE 31
2022/09/09 13:16:49 Donald HUMPHREY 31
2022/09/09 13:16:49 Evelyn SIMMONS 31
2022/09/09 13:16:49 Ariana SALAZAR 31
2022/09/09 13:16:49 Scott HERRERA 31
2022/09/09 13:16:49 Elizabeth BARTLETT 31
2022/09/09 13:16:49 Johnathan GLASS 31
2022/09/09 13:16:49 Colin NOVAK 31
2022/09/09 13:16:49 Nathaniel WOOD 31
2022/09/09 13:16:49 Katrina LLOYD 31
2022/09/09 13:16:49 Douglas MORAN 31
2022/09/09 13:16:49 Johnathan LAMB 31
2022/09/09 13:16:49 Savannah FRYE 31
2022/09/09 13:16:49 Brittney BARR 31
2022/09/09 13:16:49 Jessica LOVE 31
2022/09/09 13:16:49 Casey BERNAL 31
2022/09/09 13:16:49 Miguel JARVIS 31
2022/09/09 13:16:49 Joel SELLERS 31
2022/09/09 13:16:49 Hannah MAXWELL 31
2022/09/09 13:16:49 Mariah FISHER 31
2022/09/09 13:16:49 Cassandra MORENO 31
2022/09/09 13:16:49 Grant BEAN 31
2022/09/09 13:16:49 张秀英 KERR 31
2022/09/09 13:16:49 Savannah KIRBY 31
2022/09/09 13:16:49 Isabel MEYER 31
2022/09/09 13:16:49 Deanna MCKEE 31
2022/09/09 13:16:49 Rachel HUFF 31
2022/09/09 13:16:49 Brendan RILEY 31
2022/09/09 13:16:49 Alicia NAVARRO 31
2022/09/09 13:16:49 Valerie SCHULTZ 31
2022/09/09 13:16:49 Hayden BRANDT 31
2022/09/09 13:16:49 Madison YOUNG 31
2022/09/09 13:16:49 Ricardo BASS 31
2022/09/09 13:16:49 Kylie MURILLO 31
2022/09/09 13:16:49 Kenneth BULLOCK 31
2022/09/09 13:16:49 Oscar MIDDLETON 31
2022/09/09 13:16:49 จันทนา RANGEL 31
2022/09/09 13:16:49 Alan MCCULLOUGH 31
2022/09/09 13:16:49 Marisa NASH 31
2022/09/09 13:16:49 Andres ROY 31
2022/09/09 13:16:49 Cristian CALDERON 31
2022/09/09 13:16:49 Caleb SIMPSON 31
2022/09/09 13:16:49 Heather RANDOLPH 31
2022/09/09 13:16:49 Randy NORMAN 31
